"search-number","evaluation","evals-requested-so-far","initial-fruit-bushes*","initial-foragers*","bush-growth-chance*","ticks-to-flee*","max-age*","collaboration-bonus*","rate-of-mutation*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","77","160","28","57","94","26","251","3.4490623331044485","2.5","""942561108""","4978","27986.8542526894","12392.866194562348","8131.608897416637","27367.531520943"
"1","78","160","28","57","94","26","251","3.4490623331044485","2.5","""-1232291703""","5499","19319.336150988027","10795.99296299914","4643.034072258321","19319.336150988027"
"1","79","160","28","57","94","26","251","3.4490623331044485","2.5","""1835152100""","5422","25342.99132537321","12317.165384504691","6354.941695460639","25342.99132537321"
"1","80","160","28","57","94","26","251","3.4490623331044485","2.5","""289912242""","5568","25074.758648441515","14781.45226845876","6851.828020849779","25074.758648441515"
"1","81","160","6","45","39","90","429","2.911023117418174","4.9","""80079766""","2452","6092.255458915084","3369.5792739122844","884.0623473066821","6092.255458915084"
"1","82","160","6","45","39","90","429","2.911023117418174","4.9","""65174400""","3828","6868","4664.772277227723","904.2573846111308","6868"
"1","83","160","6","45","39","90","429","2.911023117418174","4.9","""1100968757""","3382","6598","4406.554455445545","955.6745206946508","6598"
"1","84","160","6","45","39","90","429","2.911023117418174","4.9","""-41876477""","3173","5747","4084.3861386138615","651.276438546598","5747"
"1","85","160","6","45","39","90","429","2.911023117418174","4.9","""335839933""","4101","5170","4464.544554455446","327.91909138543537","4723"
"1","86","160","6","45","39","90","429","2.911023117418174","4.9","""1162662078""","2620","4677","3322.089108910891","612.7045307325529","4677"
"1","87","160","6","45","39","90","429","2.911023117418174","4.9","""-772558446""","3602","7573.069789425497","4877.3317597429195","1407.40422477725","7315.069789425497"
"1","88","160","6","45","39","90","429","2.911023117418174","4.9","""-614257104""","3242","7158.8407965209435","4328.89331052034","1165.6016951073395","7158.8407965209435"
"1","89","160","6","45","39","90","429","2.911023117418174","4.9","""-147658726""","3985","5810.510102998398","4716.180099032568","487.4263450725928","5810.510102998398"
"1","90","160","6","45","39","90","429","2.911023117418174","4.9","""1981996490""","3807","8167.897430762188","5586.322896124577","1322.748581816579","8167.897430762188"
"1","91","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""1005271188""","8752","17146.589055466546","11856.84128165964","3043.8889434993066","17118.589055466546"
"1","92","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""-469686083""","8192","29344.743421098152","16907.839139524876","7771.307123301596","29344.743421098152"
"1","93","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""1431070816""","8782","27533.075977289485","16195.277860521966","7454.448404542922","26889.986432008347"
"1","94","160","23","96","48","55","318","3.8841443503471433","6.1000000000000005","""-555006062""","8849","39414.5256176089","19278.96170131295","9497.753762896738","39414.5256176089"
